"id","code","name","name@pl","account_type","reconcile","tag_ids"
"chart76105","761.05","Other operating expenses Settlement of inventory",Pozostałe koszty operacyjne rozliczenie inwentaryzacji,"expense","False","trilab_pl_reports.RZiSPor_E_III,trilab_pl_reports.RZiSKalk_H_III"
"chart76106","761.06","Other operating expenses Donations, discounts","Pozostałe koszty operacyjne darowizny, rabaty","expense","False","trilab_pl_reports.RZiSPor_E_III,trilab_pl_reports.RZiSKalk_H_III"
"chart76199","761.99","Other operating expenses Other",Pozostałe koszty operacyjne inne,"expense","False","trilab_pl_reports.RZiSPor_E_III,trilab_pl_reports.RZiSKalk_H_III"
"chart80001","800.01","Share capital",Kapitał zakładowy,"equity","False","trilab_pl_reports.Pasywa_A_I"
"chart81001","810.01","Supplementary capital","Kapitał zapasowy","equity","False","trilab_pl_reports.Pasywa_A_II"
"chart82001","820.01","Settlement of financial result","Rozliczenie wyniku finansowego","equity","False","trilab_pl_reports.Pasywa_A_V"
"chart83001","830.01","Provision for income tax","Rezerwa na podatek dochodowy","liability_non_current","False","trilab_pl_reports.Pasywa_B_I_1"
"chart83002","830.02","Other reserves","Pozostałe rezerwy","liability_non_current","False","trilab_pl_reports.Pasywa_B_I_3_1"
"chart84501","845.01","Deferred income - advances","Przychody przyszłych okresów - zaliczki","asset_prepayments","True","trilab_pl_reports.Pasywa_B_IV_2_2"
"chart84901","849.01","Deferred income - other","Przychody przyszłych okresów - pozostałe","asset_prepayments","True","trilab_pl_reports.Pasywa_B_IV_2_2"
"chart85001","850.01","Company Social Benefits Fund","Zakładowy Fundusz Świadczeń Socjalnych","liability_non_current","False","trilab_pl_reports.Pasywa_B_III_4"
"chart86001","860.01","Previous year's financial result","Wynik finansowy roku ubiegłego","equity_unaffected","False","trilab_pl_reports.Pasywa_A_VI"
"chart87001","870.01","Mandatory write-offs of financial result Income tax",Obowiązkowe odpisy wyniku finansowego podatek dochodowy,"expense","False","trilab_pl_reports.RZiSPor_J,trilab_pl_reports.RZiSKalk_M"
"chart87002","870.02","Mandatory write-offs of financial result Deferred tax",Obowiązkowe odpisy wyniku finansowego podatek odroczony,"expense","False","trilab_pl_reports.RZiSPor_J,trilab_pl_reports.RZiSKalk_N"
"chart991","991","Differences in statement in plus","Różnice w wyciągu in plus","income_other","False",""
"chart992","992","Differences in statement in minus","Różnice w wyciągu in minus","expense","False",""
"chart993","993","Differences in cash in plus","Różnice w kasie in plus","income_other","False",""
"chart994","994","Differences in cash in minus","Różnice w kasie in minus","expense","False",""
"chart999","999","Technical balancing account",Techniczne konto bilansujące,"asset_current","False",""
